,Address,Bluecar counter,Utilib counter,Utilib 1.4 counter,Charge Slots,Charging Status,City,Kind,Postal code,Public name,Rental status,Slots,Station type,Status,Subscription status,day,hour,minute
30,24 rue du Pont Louis-Philippe,0,0,0,2,operational,Paris,STATION,75004,Paris/Pont Louis-Philippe/24,operational,5,station,ok,nonexistent,9,21,7
31,21 rue Miollis,4,0,0,1,operational,Paris,STATION,75015,Paris/Miollis/21,operational,2,station,ok,nonexistent,3,1,22
32,14 rue Sorbier,1,0,0,2,operational,Paris,STATION,75020,Paris/Sorbier/14,operational,2,station,ok,nonexistent,8,17,23
33,6 rue de Londres,3,0,0,0,nonexistent,Paris,STATION,75009,Paris/Londres/6,operational,0,station,ok,nonexistent,9,10,28
34,38 ter rue du Mont ValÃ©rien,3,0,0,0,operational,Saint-Cloud,STATION,92210,Saint-Cloud/Mont ValÃ©rien/38,operational,2,station,ok,nonexistent,3,16,22
35,123 Grande Rue,2,0,1,0,nonexistent,SÃ¨vres,STATION,92310,SÃ¨vres/Grande Rue/123,operational,2,station,ok,nonexistent,8,3,9
36,5 rue des Ecoles,4,0,0,0,nonexistent,Nanterre,STATION,92000,Nanterre/Ecoles/5,operational,0,station,ok,nonexistent,6,11,51
37,5 rue FrÃ©dÃ©rick LemaÃ®tre,5,0,0,0,operational,Paris,STATION,75020,Paris/FrÃ©dÃ©rick LemaÃ®tre/5,operational,0,station,ok,nonexistent,3,3,48
38,77 rue Edouard Vaillant,3,0,0,0,nonexistent,Bezons,SPACE,95870,Bezons/Edouard Vaillant/77,operational,0,full_station,ok,broken,1,23,36
39,1 rue Jean Monnet,5,0,0,0,nonexistent,Nogent-sur-Marne,SPACE,94130,Nogent-sur-Marne/Jean Monnet/1,operational,0,full_station,ok,broken,2,8,37
40,70 Boulevard de Clichy,2,0,0,0,operational,Paris,STATION,75018,Paris/Clichy/70,operational,1,station,ok,nonexistent,3,16,24
41,68 avenue Mozart,2,0,0,0,operational,Paris,STATION,75016,Paris/Mozart/68,operational,1,station,ok,nonexistent,1,21,17
42,16 rue Claude Bernard,1,0,0,2,operational,Paris,STATION,75005,Paris/Claude Bernard/16,operational,3,station,ok,nonexistent,4,13,3
43,18 Rue Gabriel FaurÃ©,3,0,0,0,nonexistent,CrÃ©teil,STATION,94000,CrÃ©teil/Gabriel FaurÃ©/18,operational,3,station,ok,nonexistent,2,23,38
44,27 boulevard Gallieni,4,0,0,0,nonexistent,Issy-les-Moulineaux,STATION,92130,Issy-les-Moulineaux/Gallieni/27,operational,2,station,ok,nonexistent,4,11,54
45,42 bis avenue Georges Mandel,5,0,0,0,operational,Paris,STATION,75016,Paris/Georges Mandel/42,operational,1,station,ok,nonexistent,6,18,25
46,81 avenue de la Grande ArmÃ©e,0,0,0,0,broken,Paris,STATION,75016,Paris/Grande ArmÃ©e/81,broken,0,station,closed,nonexistent,6,21,2
47,2 avenue de l'Ãpi dâOr,6,0,0,0,nonexistent,Villejuif,STATION,94800,Villejuif/Ãpi d'Or/2,operational,0,station,ok,nonexistent,5,7,5
48,14 rue Censier,2,0,0,1,operational,Paris,STATION,75005,Paris/Censier/14,operational,4,station,ok,nonexistent,5,2,35
49,59 avenue Reille,3,0,1,1,operational,Paris,STATION,75014,Paris/Reille/59,operational,2,station,ok,nonexistent,7,9,6
50,2 bis Place du 8 mai 1945,4,0,1,0,nonexistent,Rueil-Malmaison,STATION,92500,Rueil-Malmaison/8 mai 1945/2,operational,0,station,ok,nonexistent,6,3,52
51,41 rue de Tolbiac,3,0,0,1,operational,Paris,STATION,75013,Paris/Tolbiac/41,operational,2,station,ok,nonexistent,9,19,49
52,2 Rue Fabre d'Ãglantine,2,0,0,1,operational,Paris,STATION,75012,Paris/Fabre d'Ãglantine/2,operational,2,station,ok,nonexistent,9,0,44
53,29 Avenue Georges Pompidou,6,0,0,0,operational,Villeneuve-la-Garenne,STATION,92390,Villeneuve-la-Garenne/Pompidou/29,operational,0,station,ok,nonexistent,1,11,56
54,17 Place de la RÃ©publique,0,0,0,0,nonexistent,Paris,STATION,75003,Paris/RÃ©publique/17,operational,3,station,ok,nonexistent,3,0,56
55,145 Rue Raymond Losserand,4,0,0,1,operational,Paris,STATION,75014,Paris/Raymond Losserand/145,operational,2,station,ok,nonexistent,4,10,9
56,11 rue de vincennes,6,0,0,0,nonexistent,Montreuil,STATION,93100,Montreuil/Vincennes/11,operational,0,station,ok,nonexistent,7,21,11
57,1 rue Velpeau,0,0,0,0,nonexistent,Paris,PARKING,75007,Paris/SÃ¨vres Babylone/Parking,operational,6,station,ok,nonexistent,6,0,9
58,229 Rue Raymond Losserand,5,0,0,0,operational,Paris,STATION,75014,Paris/Raymond Losserand/229,operational,1,station,ok,nonexistent,8,8,22
59,1 Boulevard Murat,0,0,0,1,operational,Paris,STATION,75016,Paris/Murat/1,operational,5,station,ok,nonexistent,4,3,32
60,137 rue de la Pompe,3,0,0,0,operational,Paris,STATION,75016,Paris/Pompe/137,operational,0,station,ok,nonexistent,3,21,17
61,10 rue Guy Patin,3,0,0,0,operational,Paris,STATION,75010,Paris/Guy Patin/10,operational,0,station,ok,nonexistent,5,15,54
62,1 rue Jacques Duchesne,3,0,2,0,operational,Paris,STATION,75019,Paris/Jacques Duchesne/1,operational,0,station,ok,nonexistent,8,10,55
63,147 rue de Paris,3,0,0,0,nonexistent,Charenton-le-Pont,STATION,94220,Charenton-le-Pont/Paris/147,operational,0,station,ok,nonexistent,2,14,38
64,12 rue Henri Sainte-Claire DÃ©ville,4,0,0,0,nonexistent,Rueil-Malmaison,STATION,92500,Rueil-Malmaison/Henri Sainte-Claire DÃ©ville/12,operational,2,station,ok,nonexistent,1,1,29
65,4 rue Massenet,3,0,0,0,operational,Courbevoie,SPACE,92400,Courbevoie/Massenet/4,operational,2,full_station,ok,broken,6,15,59
66,37 rue Sainte-Croix de la Bretonnerie,2,0,0,0,nonexistent,Paris,STATION,75004,Paris/Sainte-Croix de la Bretonnerie/37,operational,0,station,ok,nonexistent,3,11,11
67,229 Rue Raymond Losserand,5,0,1,0,operational,Paris,STATION,75014,Paris/Raymond Losserand/229,operational,0,station,ok,nonexistent,7,3,31
68,6 avenue Foch,0,0,0,0,nonexistent,Paris,PARKING,75016,Paris/Etoile Foch/Parking,broken,0,station,closed,nonexistent,5,3,11
69,33 Rue du Ranelagh,6,0,0,0,operational,Paris,STATION,75016,Paris/Ranelagh/33,operational,0,station,ok,nonexistent,2,20,40
70,65 avenue Philippe Auguste,3,0,0,1,operational,Paris,STATION,75011,Paris/Philippe Auguste/65,operational,1,station,ok,nonexistent,2,18,59
71,2 Rue Jean-Jacques Rousseau,5,0,0,0,nonexistent,AsniÃ¨res-sur-Seine,STATION,92600,AsniÃ¨res-sur-Seine/Jean-Jacques Rousseau/2,operational,0,station,ok,nonexistent,8,3,10
72,55 avenue de SÃ©gur,3,1,0,1,operational,Paris,STATION,75007,Paris/SÃ©gur/55,operational,2,station,ok,nonexistent,1,17,48
73,81 Avenue Bosquet,0,0,0,2,operational,Paris,STATION,75007,Paris/Bosquet/81,operational,3,station,ok,nonexistent,8,8,2
74,102 Boulevard Raymond PoincarÃ©,6,0,0,0,nonexistent,Garches,STATION,92380,Garches/Raymond PoincarÃ©/102,operational,0,station,ok,nonexistent,1,6,13
75,17 Avenue Victoria,1,0,0,0,operational,Paris,STATION,75001,Paris/Victoria/17,operational,4,station,ok,nonexistent,6,4,41
76,2 Rue Marcelin Berthelot,1,0,0,0,nonexistent,Drancy,STATION,93700,Drancy/Marcelin Berthelot/2,operational,2,station,ok,nonexistent,4,13,27
77,31 Boulevard Rochechouart,2,2,0,0,operational,Paris,STATION,75009,Paris/Rochechouart/31,operational,1,station,ok,nonexistent,4,2,59
78,1 rue Jules LefÃ¨bvre,0,0,0,2,operational,Paris,STATION,75009,Paris/Jules LefÃ¨bvre/1,operational,6,station,ok,nonexistent,6,11,42
79,24 boulevard Diderot,0,0,0,0,operational,Paris,SPACE,75012,Paris/Diderot/24,operational,4,full_station,ok,operational,2,3,38
80,4 Rue Lobau,0,0,0,0,nonexistent,Paris,PARKING,75004,Paris/Lobau/Parking,broken,0,station,closed,broken,8,14,3
81,2 rue du Charolais,2,0,0,1,operational,Paris,STATION,75012,Paris/Charolais/2,operational,4,station,ok,nonexistent,9,6,50
82,41 avenue de Verdun,5,0,1,0,nonexistent,La Garenne-Colombes,STATION,92250,La Garenne-Colombes/Verdun/41,operational,0,station,ok,nonexistent,9,20,37
83,34 avenue Jean Moulin,3,0,0,0,nonexistent,Paris,STATION,75014,Paris/Jean Moulin/34,operational,2,station,ok,nonexistent,7,5,22
84,32 rue Robert Marchand,5,0,0,0,nonexistent,Fontenay-aux-Roses,STATION,92260,Fontenay-aux-Roses/Robert Marchand/32,operational,0,station,ok,nonexistent,5,20,58
85,41 Boulevard Bourdon,0,0,0,0,nonexistent,Paris,SPACE,75004,Paris/Bourdon/41,operational,4,full_station,ok,operational,1,7,55
86,1 Rue du Colonel Pierre Avia,0,0,0,2,operational,Paris,STATION,75015,Paris/Colonel Pierre Avia/1,operational,4,station,ok,nonexistent,7,22,52
87,17 Avenue Victoria,0,0,0,1,operational,Paris,STATION,75001,Paris/Victoria/17,operational,5,station,ok,nonexistent,8,6,8
88,10 Rue Sadi Carnot,2,0,0,0,nonexistent,AsniÃ¨res-sur-Seine,STATION,92600,AsniÃ¨res-sur-Seine/Sadi Carnot/10,operational,0,station,ok,nonexistent,5,23,23
89,171 Rue de la Convention,3,0,0,0,nonexistent,Paris,STATION,75015,Paris/Convention/171,operational,0,station,ok,nonexistent,7,10,58
90,4 Rue Lobau,0,0,0,0,nonexistent,Paris,PARKING,75004,Paris/Lobau/Parking,operational,4,station,ok,operational,6,7,9
91,17 boulevard Saint-Martin,0,0,0,0,nonexistent,Paris,STATION,75003,Paris/Saint-Martin/17,operational,2,station,ok,nonexistent,8,11,48
92,51 avenue Karl Marx,4,0,0,0,nonexistent,Villejuif,STATION,94800,Villejuif/Karl Marx/51,operational,1,station,ok,nonexistent,5,6,2
93,137 Rue des PyrÃ©nÃ©es,2,0,0,1,operational,Paris,SPACE,75020,Paris/PyrÃ©nÃ©es/137,operational,2,full_station,ok,operational,6,7,17
94,61 Boulevard Ãmile Zola,6,0,0,0,nonexistent,Nanterre,STATION,92000,Nanterre/Ãmile Zola/61,operational,0,station,ok,nonexistent,5,5,7
95,10 Rue du Ranelagh,1,0,0,0,nonexistent,Paris,STATION,75016,Paris/Ranelagh/10,operational,5,station,ok,nonexistent,7,6,55
96,10 rue Guy Patin,3,0,0,2,operational,Paris,STATION,75010,Paris/Guy Patin/10,operational,3,station,ok,nonexistent,2,7,31
97,24 Avenue d'IÃ©na,0,0,0,0,nonexistent,Paris,STATION,75016,Paris/IÃ©na/24,operational,4,station,ok,nonexistent,1,6,20
98,56 Rue La Fayette,3,0,0,0,operational,Paris,STATION,75009,Paris/La Fayette/56,operational,1,station,ok,nonexistent,6,12,19
99,204 rue dâEstienne dâOrves,1,0,0,0,nonexistent,VerriÃ¨res-le-Buisson,STATION,91370,VerriÃ¨res-le-Buisson/D'Estienne d'Orves/204,operational,6,station,ok,nonexistent,6,13,40
100,13 rue Malher,2,0,1,0,nonexistent,Paris,STATION,75004,Paris/Malher/13,operational,0,station,ok,nonexistent,2,19,19
101,1 rue Claude Terrasse,1,0,0,0,operational,Le Blanc-Mesnil,STATION,93150,Le Blanc-Mesnil/Claude Terrasse/1,operational,5,station,ok,nonexistent,3,3,48
102,6 avenue Emile Zola,1,0,1,0,nonexistent,Paris,STATION,75015,Paris/Emile Zola/6,operational,2,station,ok,nonexistent,5,18,58
103,231 rue des PyrÃ©nÃ©es,2,0,0,0,nonexistent,Paris,STATION,75020,Paris/PyrÃ©nÃ©es/231,operational,1,station,ok,nonexistent,3,7,43
104,116 rue RÃ©aumur,0,0,0,0,operational,Paris,STATION,75002,Paris/RÃ©aumur/116,operational,0,station,ok,nonexistent,3,18,29
105,11 rue Gerbert,5,0,0,0,operational,Paris,STATION,75015,Paris/Gerbert/11,operational,0,station,ok,nonexistent,4,23,50
106,126 rue de Colombes,1,0,0,0,nonexistent,La Garenne-Colombes,STATION,92250,La Garenne-Colombes/Colombes/126,operational,6,station,ok,nonexistent,1,9,58
107,94 Rue Paul Vaillant Couturier,6,0,0,0,nonexistent,Nanterre,STATION,92000,Nanterre/Paul Vaillant Couturier/94,operational,0,station,ok,nonexistent,4,7,23
108,7 Rue Pruvot,0,0,0,0,nonexistent,Vanves,STATION,92170,Vanves/Pruvot/7,broken,0,station,closed,nonexistent,4,8,51
109,33 Avenue Jules Quentin,3,2,1,0,nonexistent,Nanterre,STATION,92000,Nanterre/Jules Quentin/33,operational,0,station,ok,nonexistent,8,22,57
110,2 Avenue John Fitzgerald Kennedy,3,0,0,1,operational,Le Bourget,STATION,93350,Le Bourget/John Fitzgerald Kennedy/2,operational,3,station,ok,nonexistent,1,4,43
111,182 Boulevard Voltaire,1,0,0,2,operational,Paris,STATION,75011,Paris/Voltaire/182,operational,4,station,ok,nonexistent,6,12,13
112,3 rue de Vaugirard,1,0,0,0,operational,Paris,STATION,75006,Paris/Vaugirard/3,operational,2,station,ok,nonexistent,3,20,34
113,98 boulevard Murat,5,0,0,0,operational,Paris,STATION,75016,Paris/Murat/98,operational,0,station,ok,nonexistent,5,17,7
114,139 boulevard de Grenelle,6,0,0,0,operational,Paris,STATION,75015,Paris/Grenelle/139,operational,0,station,ok,nonexistent,1,21,46
115,161 rue du Faubourg Saint-HonorÃ©,1,0,0,1,operational,Paris,STATION,75008,Paris/Saint-HonorÃ©/161,operational,4,station,ok,nonexistent,2,13,49
116,1 rue de Chanaleilles,3,0,0,0,operational,Paris,STATION,75007,Paris/Chanaleilles/1,operational,1,station,ok,nonexistent,9,16,51
117,66 rue Gay-Lussac,1,0,0,1,operational,Paris,SPACE,75005,Paris/Gay-Lussac/66,operational,4,full_station,ok,operational,9,1,7
118,2 rue de Fleurus,1,0,0,1,operational,Paris,STATION,75006,Paris/Fleurus/2,operational,2,station,ok,nonexistent,5,23,4
119,2 rue de la Coussaye,2,0,0,0,nonexistent,Enghien-les-Bains,STATION,95880,Enghien-les-Bains/Coussaye/2,operational,3,station,ok,nonexistent,3,11,18
120,2 rue de la RÃ©publique,6,0,0,0,operational,Montreuil,STATION,93100,Montreuil/RÃ©publique/2,operational,1,station,ok,nonexistent,3,13,48
121,52 Rue de Bagneux,4,1,0,0,nonexistent,Sceaux,STATION,92330,Sceaux/Bagneux/52,operational,1,station,ok,nonexistent,8,8,26
122,8 Avenue de la Porte de Montrouge,3,0,1,1,operational,Paris,STATION,75014,Paris/Porte de Montrouge/8,operational,2,station,ok,nonexistent,8,19,57
123,35 rue Mathis,0,0,0,0,nonexistent,Paris,STATION,75019,Paris/Mathis/35,operational,4,station,ok,nonexistent,1,0,32
124,3 boulevard du Couchant,6,0,0,0,nonexistent,Nanterre,STATION,92000,Nanterre/Couchant/3,operational,0,station,ok,nonexistent,4,6,40
125,1 Place de la RÃ©publique,1,0,1,0,nonexistent,Levallois-Perret,PARKING,92300,Levallois-Perret/HÃ´tel de Ville/Parking,operational,2,station,ok,nonexistent,9,10,47
126,38 Rue RÃ©aumur,0,0,0,2,operational,Paris,STATION,75003,Paris/RÃ©aumur/38,operational,6,station,ok,nonexistent,2,14,32
127,47 rue de la Grange aux Belles,3,0,0,0,operational,Paris,STATION,75010,Paris/Grange aux Belles/47,operational,2,station,ok,nonexistent,6,1,31
128,31 Rue Camille Desmoulins,2,0,1,0,nonexistent,Issy-les-Moulineaux,STATION,92130,Issy-les-Moulineaux/Camille Desmoulins/31,operational,3,station,ok,nonexistent,2,0,0
129,19 Rue des Filles du Calvaire,1,1,0,1,operational,Paris,STATION,75003,Paris/Filles du Calvaire/19,operational,1,station,ok,nonexistent,5,14,51
130,81 avenue Ãdouard Vaillant,2,0,0,0,nonexistent,Boulogne-Billancourt,STATION,92100,Boulogne-Billancourt/Ãdouard Vaillant/81,operational,1,station,ok,nonexistent,8,18,41
131,280 avenue Jean JaurÃ¨s,0,0,0,0,nonexistent,ChÃ¢tenay-Malabry,STATION,92290,ChÃ¢tenay-Malabry/Jean JaurÃ¨s/280,broken,0,station,closed,nonexistent,9,0,50
132,33 rue Crozatier,0,0,0,0,broken,Paris,STATION,75012,Paris/Crozatier/33,broken,0,station,closed,nonexistent,5,6,8
133,4 Avenue SecrÃ©tan,2,0,1,0,operational,Paris,STATION,75019,Paris/SecrÃ©tan/4,operational,1,station,ok,nonexistent,5,9,27
134,34 avenue du CimetiÃ¨re Parisien,0,0,0,0,nonexistent,Pantin,STATION,93500,Pantin/CimetiÃ¨re Parisien/34,broken,0,station,closed,nonexistent,8,22,38
135,6 rue de Paris,1,0,0,0,nonexistent,Meudon,STATION,92190,Meudon/Paris/6,operational,1,station,ok,nonexistent,9,9,29
136,4 Rue Croix des Petits Champs,0,0,0,0,nonexistent,Paris,STATION,75001,Paris/Croix des Petits Champs/4,operational,3,station,ok,nonexistent,8,13,57
137,3 avenue d'Ivry,2,0,0,1,operational,Paris,STATION,75013,Paris/Ivry/3,operational,1,station,ok,nonexistent,2,11,10
138,23 avenue du GÃ©nÃ©ral de Gaulle,5,0,1,0,nonexistent,Gennevilliers,STATION,92230,Gennevilliers/De Gaulle/23,operational,0,station,ok,nonexistent,8,8,42
139,15 boulevard Mortier,1,0,0,1,operational,Paris,STATION,75020,Paris/Mortier/15,operational,4,station,ok,nonexistent,8,3,45
140,44 rue de Fontenay,2,0,1,0,nonexistent,Vincennes,STATION,94300,Vincennes/Fontenay/44,operational,0,station,ok,nonexistent,7,14,50
141,10 rue du Quatre septembre,0,0,0,1,operational,Paris,STATION,75002,Paris/Quatre septembre/10,operational,5,station,ok,nonexistent,5,23,35
142,3 avenue Paul Doumer,5,0,0,0,nonexistent,Rueil-Malmaison,STATION,92500,Rueil-Malmaison/Paul Doumer/3,operational,0,station,ok,nonexistent,2,12,48
143,28 rue Championnet,1,0,0,2,operational,Paris,STATION,75018,Paris/Championnet/28,operational,5,station,ok,nonexistent,7,12,50
144,1 rue Jules LefÃ¨bvre,1,0,2,0,operational,Paris,STATION,75009,Paris/Jules LefÃ¨bvre/1,operational,0,station,ok,nonexistent,5,13,16
145,20 Chemin LatÃ©ral,3,0,1,1,operational,Drancy,STATION,93700,Drancy/LatÃ©ral/20,operational,2,station,ok,nonexistent,5,11,57
146,22 Voie au Lard,7,0,0,0,nonexistent,Rungis,STATION,94150,Rungis/Lard/22,operational,0,station,ok,nonexistent,1,17,35
147,22 rue de Normandie,6,0,0,0,nonexistent,AsniÃ¨res-sur-Seine,STATION,92600,AsniÃ¨res-sur-Seine/Normandie/22,operational,0,station,ok,nonexistent,2,11,18
148,236 Rue des PyrÃ©nÃ©es,6,0,0,0,operational,Paris,STATION,75020,Paris/PyrÃ©nÃ©es/236,operational,0,station,ok,nonexistent,3,6,33
149,26 rue HuchÃ©,6,0,0,0,operational,Suresnes,STATION,92150,Suresnes/HuchÃ©/26,operational,0,station,ok,nonexistent,4,8,28
150,42 Rue Victor Hugo,6,0,0,0,nonexistent,Colombes,STATION,92700,Colombes/Victor Hugo/42,operational,0,station,ok,nonexistent,5,5,4
151,2 avenue du Val de Fontenay,5,0,1,0,nonexistent,Fontenay-Sous-Bois,STATION,94120,Fontenay-Sous-Bois/Val de Fontenay/2,operational,0,station,ok,nonexistent,7,3,57
152,8 rue Gaston Tessier,4,0,0,1,operational,Paris,STATION,75019,Paris/Gaston Tessier/8,operational,1,station,ok,nonexistent,3,12,31
153,20 Boulevard de Vaugirard,2,1,1,0,operational,Paris,STATION,75015,Paris/Vaugirard/20,operational,0,station,ok,nonexistent,7,11,57
154,52 Boulevard de la RÃ©publique,4,0,0,0,operational,La Garenne-Colombes,SPACE,92250,La Garenne-Colombes/RÃ©publique/52,operational,0,full_station,ok,broken,8,11,55
155,199 Rue du Faubourg Saint-Antoine,3,0,0,0,nonexistent,Paris,SPACE,75011,Paris/Saint-Antoine/199,operational,1,full_station,ok,operational,9,9,22
156,108 Rue Balard,0,0,0,1,operational,Paris,STATION,75015,Paris/Balard/108,operational,5,station,ok,nonexistent,2,22,33
157,51 Rue de Bretagne,0,0,0,0,operational,Paris,SPACE,75003,Paris/Bretagne/51,operational,1,full_station,ok,operational,8,0,38
158,8 rue des Chantiers,2,0,0,0,nonexistent,Versailles,SPACE,78000,Versailles/Chantiers/8,operational,3,full_station,ok,operational,9,7,42
159,69 Rue de Courcelles,0,0,0,2,operational,Paris,STATION,75008,Paris/Courcelles/69,operational,5,station,ok,nonexistent,2,18,38
160,25 rue de la Plaine,0,0,2,0,operational,Paris,STATION,75020,Paris/Plaine/25,operational,3,station,ok,nonexistent,4,17,6
161,16 rue de Lisbonne,5,0,1,0,nonexistent,Rosny-sous-Bois,STATION,93110,Rosny-sous-Bois/Lisbonne/16,operational,0,station,ok,nonexistent,4,9,18
162,19 Rue des Filles du Calvaire,4,0,0,0,operational,Paris,STATION,75003,Paris/Filles du Calvaire/19,operational,1,station,ok,nonexistent,3,13,57
163,108 Rue Jouffroy d'Abbans,2,0,0,0,operational,Paris,STATION,75017,Paris/Jouffroy d'Abbans/108,operational,3,station,ok,nonexistent,2,7,28
164,115 Boulevard Pereire,1,0,0,1,operational,Paris,STATION,75017,Paris/Pereire/115,operational,4,station,ok,nonexistent,4,16,17
165,39 rue Julien Lacroix,6,0,0,0,operational,Paris,STATION,75020,Paris/Julien Lacroix/39,operational,0,station,ok,nonexistent,3,3,1
166,123 Grande Rue,1,0,1,0,nonexistent,SÃ¨vres,STATION,92310,SÃ¨vres/Grande Rue/123,operational,3,station,ok,nonexistent,8,8,13
167,1 rue LÃ©on Frot,0,1,0,0,nonexistent,Paris,STATION,75011,Paris/LÃ©on Frot/1,operational,1,station,ok,nonexistent,7,20,14
168,8 rue Goubet,5,0,0,0,operational,Paris,STATION,75019,Paris/Goubet/8,operational,0,station,ok,nonexistent,8,23,47
169,56 Rue des Plantes,2,0,0,0,operational,Paris,STATION,75014,Paris/Plantes/56,operational,1,station,ok,nonexistent,5,9,46
170,80 Rue de Dantzig,2,0,0,2,operational,Paris,STATION,75015,Paris/Dantzig/80,operational,3,station,ok,nonexistent,8,10,50
171,192 avenue Pierre Brossolette,2,0,0,0,nonexistent,Malakoff,STATION,92240,Malakoff/Pierre Brossolette/192,operational,3,station,ok,nonexistent,4,8,3
172,280 avenue Jean JaurÃ¨s,0,0,0,0,nonexistent,ChÃ¢tenay-Malabry,STATION,92290,ChÃ¢tenay-Malabry/Jean JaurÃ¨s/280,broken,0,station,closed,nonexistent,9,21,31
173,26 rue Claude Decaen,6,0,0,0,operational,Paris,STATION,75012,Paris/Claude Decaen/26,operational,0,station,ok,nonexistent,5,22,26
